P1
id; best s1; best s2 ; best s3 ; best lap
23;25.45;28.94;25.77;80.16
10;25.51;25.75;25.43;85.53
77;25.92;27.51;25.8 ;87.17
 1;33.7 ;25.59;25.9 ;91.26
44;27.92;30.1 ;25.13;92.79
55;32.87;27.51;27.46;93.34
 6;27.38;27.76;27.86;93.45
22;25.91;26.69;31   ;93.88
24;25.72;28.04;26.92;93.89
 3;34.23;27.1 ;28.44;94.62
18;26.28;36.26;27.64;94.65
16;26.46;30.3 ;31.78;94.91
14;26.64;27   ;30.37;95.16
11;28.71;29.92;28.54;95.54
 9;28.48;25.06;28.77;95.8 
 4;27.57;25.97;25.16;96.02
47;25.19;27.14;27.94;97.54
31;26.41;32.62;37.67;98.84
63;32.13;25.62;36.52;100.5
 5;31.96;34.57;31.01;102.1
