bests
id; best s1; best s2 ; best s3 ; best lap
44;45   ;45   ;45   ;135  
63;45   ;45   ;45   ;135  
 1;45   ;45   ;45   ;135  
11;45   ;45   ;45   ;135  
55;45   ;45   ;45   ;135  
16;45   ;45   ;45   ;135  
 4;45   ;45   ;45   ;135  
 3;45   ;45   ;45   ;135  
14;45   ;45   ;45   ;135  
31;45   ;45   ;45   ;135  
10;45   ;45   ;45   ;135  
22;45   ;45   ;45   ;135  
 5;45   ;45   ;45   ;135  
18;45   ;45   ;45   ;135  
 6;45   ;45   ;45   ;135  
23;45   ;45   ;45   ;135  
77;45   ;45   ;45   ;135  
24;45   ;45   ;45   ;135  
47;45   ;45   ;45   ;135  
 9;45   ;45   ;45   ;135  
